name,enrollment,rank,tuitionFee,link,image_urls,images,location
Ripon College,904,113,"$33,482 (2014-15)",/best-colleges/ripon-college-3884,http://colleges.usnews.rankingsandreviews.com/img/college-photo_18989._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_18989._130x0.jpg', 'path': 'full/99eca0c665044d440848c6c367dcb55d544f205a.jpg', 'checksum': '4790d0453ffcbb11e63ade4486ff1953'}]","Ripon, WI"
Siena College,3161,113,"$32,293 (2014-15)",/best-colleges/siena-college-2816,http://colleges.usnews.rankingsandreviews.com/img/college-photo_22646._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_22646._130x0.jpg', 'path': 'full/cc86f706cd2392df00561a6ac4006a1cb8511c10.jpg', 'checksum': 'ae05d8d1e49faa710260c9732d6ffcc7'}]","Loudonville, NY"
Calvin College,3959,116,"$29,635 (2014-15)",/best-colleges/calvin-college-2241,http://colleges.usnews.rankingsandreviews.com/img/college-photo_4223._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_4223._130x0.JPG', 'path': 'full/cbce7c74296002695930f14ac3650ffcb0bf7fb9.jpg', 'checksum': '5679eae5acc14a9248040874d0fb7a6d'}]","Grand Rapids, MI"
Susquehanna University,2179,116,"$40,350 (2014-15)",/best-colleges/susquehanna-university-3369,http://colleges.usnews.rankingsandreviews.com/img/college-photo_20399._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_20399._130x0.jpg', 'path': 'full/3b799c81635df8eada86e547795dda41b680d83e.jpg', 'checksum': '71c5caabdd0f489798d6af7dd47da423'}]","Selinsgrove, PA"
Sweet Briar College,703,116,"$34,935 (2014-15)",/best-colleges/sweet-briar-college-3742,http://colleges.usnews.rankingsandreviews.com/img/college-photo_20113._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_20113._130x0.jpg', 'path': 'full/4e44083d3822265be0ea1162341fdcca4f8d53f3.jpg', 'checksum': '4bd497eb0e91a60f5f3a7de69163152e'}]","Sweet Briar, VA"
Westminster College,1306,116,"$33,410 (2014-15)",/best-colleges/westminster-college-pennsylvania-3392,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2473._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2473._130x0.jpg', 'path': 'full/03c6b72e2169fbd66675f04c7aa436693512d80f.jpg', 'checksum': '056cec54d2014ceb764e7e1298c87fbf'}]","New Wilmington, PA"
Coe College,1420,120,"$37,230 (2014-15)",/best-colleges/coe-college-1854,http://colleges.usnews.rankingsandreviews.com/img/college-photo_22727._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_22727._130x0.jpg', 'path': 'full/e6856ca0d98c1bcb7d4241d65b735bee8a96014d.jpg', 'checksum': 'd9ee595609adb7c328c8013ccbedbffc'}]","Cedar Rapids, IA"
Lake Forest College,1594,120,"$39,842 (2013-14)",/best-colleges/lake-forest-college-1706,http://colleges.usnews.rankingsandreviews.com/img/college-photo_12273._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_12273._130x0.JPG', 'path': 'full/954ce7afac8dc27babca48193e03e6ec3527fd1c.jpg', 'checksum': '991093b7962fd27fc55db72b5e8f7a04'}]","Lake Forest, IL"
St. Anselm College,1923,120,"$36,336 (2014-15)",/best-colleges/st-anselm-college-2587,http://colleges.usnews.rankingsandreviews.com/img/college-photo_11794._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_11794._130x0.jpg', 'path': 'full/ebb874b37eeef804cef0c96ddd5b492c66155082.jpg', 'checksum': '28a290adba335d8f1ad582e3da248f65'}]","Manchester, NH"
St. Norbert College,2160,123,"$33,023 (2014-15)",/best-colleges/st-norbert-college-3892,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1928._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1928._130x0.jpg', 'path': 'full/fff8f2b57818ce030fb4fe1bde1d9e5b93783b82.jpg', 'checksum': '9428d7645bc57eaa02acf3a12850daa1'}]","De Pere, WI"
Birmingham-Southern College,1188,124,"$31,888 (2014-15)",/best-colleges/birmingham-southern-1012,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Birmingham, AL"
Presbyterian College,1123,124,"$33,650 (2013-14)",/best-colleges/presbyterian-college-3445,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Clinton, SC"
Eckerd College,1821,124,"$38,668 (2014-15)",/best-colleges/eckerd-college-1487,http://colleges.usnews.rankingsandreviews.com/img/college-photo_8689._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_8689._130x0.jpg', 'path': 'full/bb73a76001d07b45f6bf9b555679863658a00d03.jpg', 'checksum': '22be1c0a968730911a8ab760f800d356'}]","St. Petersburg, FL"
Linfield College,1671,124,"$37,346 (2014-15)",/best-colleges/linfield-college-3198,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3979._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3979._130x0.jpg', 'path': 'full/71bbb2c0d9aafa42f349af562fac5c45884ffeb5.jpg', 'checksum': '223064daaeafb4ea6879ec03cdb14148'}]","McMinnville, OR"
Randolph-Macon College,1315,124,"$36,340 (2014-15)",/best-colleges/randolph-macon-college-3733,http://colleges.usnews.rankingsandreviews.com/img/college-photo_15759._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_15759._130x0.jpg', 'path': 'full/dba6106de0b8c9eadd0b3546dfb8635ace64d011.jpg', 'checksum': '7d7e7eb13af63510904a547c3db296c5'}]","Ashland, VA"
Berry College,2141,129,"$30,530 (2014-15)",/best-colleges/berry-college-1554,http://colleges.usnews.rankingsandreviews.com/img/college-photo_22129._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_22129._130x0.jpg', 'path': 'full/f8cf3078ee877e2a3649c37eb13be5ea69169fcb.jpg', 'checksum': '2db0bd3e7e60279892394f31ef3be036'}]","Mount Berry, GA"
